id,topic,boomer_style,gen_alpha_style,sentence_type,boomer,gen_alpha,semantic_preservation_score,notes,original_id,source_word_len,target_word_len,target_source_length_ratio,source_target_seq_similarity,source_target_token_jaccard
17760,politics and news,completely out of touch with youth culture,chronically online,observations or statements,You can’t just ignore the news.,You can't just ignore the news.,5,The original meaning is preserved exactly and the statement remains a direct observation.,17760,6,6,1.0,1.0,1.0
17761,politics and news,nostalgic for the good old days,unhinged chaos energy,observations or statements,There used to be a time when people stood by their principles.,There used to be a time when people stood by their principles.,5,The statement about past principles is kept without changing the meaning.,17761,12,12,1.0,1.0,1.0
17762,politics and news,confused by technology,main character vibes,observations or statements,Campaigns have become too focused on social media.,Campaigns have become too focused on social media.,5,The observation about campaigns and social media is directly translated.,17762,8,8,1.0,1.0,1.0
17763,politics and news,formal and slightly stiff,main character vibes,observations or statements,Engaging in dialogue is crucial for understanding.,Engaging in dialogue is crucial for understanding.,5,The importance of dialogue for understanding is maintained.,17763,7,7,1.0,1.0,1.0
17764,politics and news,overly literal and pedantic,doomer and nihilistic,observations or statements,Civil rights must be protected at all costs.,Civil rights must be protected at all costs.,5,The strong statement about protecting civil rights is preserved.,17764,8,8,1.0,1.0,1.0
17765,politics and news,unsolicited advice-giver,NPC brainrot,observations or statements,Participating in debates helps you articulate your thoughts.,Participating in debates helps you articulate your thoughts.,5,The advice about debates improving articulation is directly translated.,17765,8,8,1.0,1.0,1.0
17766,politics and news,overly literal and pedantic,doomer and nihilistic,observations or statements,We must advocate for human rights worldwide.,We must advocate for human rights worldwide.,5,The call to action for advocating human rights is preserved.,17766,7,7,1.0,1.0,1.0
17767,politics and news,using outdated idioms,chronically online,observations or statements,There's too much division in our communities.,There's too much division in our communities.,5,The observation about community division is maintained.,17767,7,7,1.0,1.0,1.0
17768,politics and news,overly literal and pedantic,doomer and nihilistic,observations or statements,Political parties should work together for the common good.,Political parties should work together for the common good.,5,The statement about political parties cooperating for good is preserved.,17768,9,9,1.0,1.0,1.0
17769,politics and news,unsolicited advice-giver,NPC brainrot,observations or statements,Civic engagement can change your community for the better.,Civic engagement can change your community for the better.,5,The advice on civic engagement's positive impact is directly translated.,17769,9,9,1.0,1.0,1.0
17860,politics and news,completely out of touch with youth culture,chronically online,observations or statements,History helps us learn for the future.,History helps us learn for the future.,5,"The original sentence is a statement of fact/observation, and the translated sentence preserves this meaning with similar casual phrasing.",17860,7,7,1.0,1.0,1.0
17861,politics and news,formal and slightly stiff,main character vibes,observations or statements,Civic engagement fosters a sense of community.,Civic engagement fosters a sense of community.,5,"The original sentence is a statement of fact/observation, and the translated sentence preserves this meaning with similar casual phrasing.",17861,7,7,1.0,1.0,1.0
17864,politics and news,confused by technology,main character vibes,observations or statements,You should respect your elders in discussions.,You should respect your elders in discussions.,5,"The original sentence is advice and the translated sentence preserves this meaning using casual, direct phrasing.",17864,7,7,1.0,1.0,1.0
17865,politics and news,confused by technology,main character vibes,observations or statements,Everything feels so polarized now.,Everything feels so polarized now.,5,"The original sentence is an observation about the current state of things, and the translated sentence maintains this meaning with informal phrasing.",17865,5,5,1.0,1.0,1.0
17867,politics and news,confused by technology,main character vibes,observations or statements,I can't believe how much misinformation spreads online.,I can't believe how much misinformation spreads online.,5,"The original sentence is an observation of a phenomenon, and the translated sentence preserves this meaning with informal wording.",17867,8,8,1.0,1.0,1.0
17868,politics and news,formal and slightly stiff,main character vibes,observations or statements,Political discourse has become increasingly divisive.,Political discourse has become increasingly divisive.,5,"The original sentence is an observation about a trend, and the translated sentence preserves this meaning with similar casual phrasing.",17868,6,6,1.0,1.0,1.0
17869,politics and news,formal and slightly stiff,main character vibes,observations or statements,Political apathy is a concerning trend.,Political apathy is a concerning trend.,5,"The original sentence is an observation about a trend, and the translated sentence preserves this meaning with similar casual phrasing.",17869,6,6,1.0,1.0,1.0
18052,relationships and dating,confused by technology,doomer and nihilistic,requests or suggestions,Why can't you just communicate better?,Why can't you just communicate better?,5,The direct question about improving communication is preserved.,18052,6,6,1.0,1.0,1.0
18053,relationships and dating,confused by technology,doomer and nihilistic,requests or suggestions,Maybe you should write them a love letter.,Maybe you should write them a love letter.,5,The suggestion to write a love letter is preserved directly.,18053,8,8,1.0,1.0,1.0
18055,relationships and dating,confused by technology,doomer and nihilistic,requests or suggestions,You need to be more romantic.,You need to be more romantic.,5,The advice to be more romantic is preserved directly.,18055,6,6,1.0,1.0,1.0
18059,relationships and dating,using outdated idioms,low effort minimal energy,requests or suggestions,You shouldn't judge a book by its cover.,You shouldn't judge a book by its cover.,5,"The idiom is translated to its direct meaning, preserving the advice.",18059,8,8,1.0,1.0,1.0
18470,family and home,worried and concerned parent,main character vibes,exclamations or reactions,You can't just leave a mess everywhere!,You can't just leave a mess everywhere!,5,"The command to clean up is preserved with direct, informal phrasing.",18470,7,7,1.0,1.0,1.0
19308,gaming and hobbies,confused by technology,deadpan sarcastic,questions,What’s a battle pass?,What's a battle pass?,5,"The question about what a battle pass is remains the same, as it's a direct query about a specific gaming term.",19308,4,4,1.0,1.0,1.0
19501,weather and environment,completely out of touch with youth culture,doomer and nihilistic,compliments or praise,The stars are so bright on a clear night; you should look up.,The stars are so bright on a clear night; you should look up.,5,"The appreciation for nature is kept, framed as a direct suggestion.",19501,13,13,1.0,1.0,1.0
19505,weather and environment,passive-aggressive,ironic hype,compliments or praise,We should be more grateful for rainy days.,"We should be more grateful for rainy days, fr.",5,"The statement about gratitude for rain is preserved, with a common internet closing.",19505,8,9,1.125,0.9647058823529412,0.8888888888888888
19509,weather and environment,completely out of touch with youth culture,unhinged chaos energy,compliments or praise,The mountains are absolutely breathtaking this time of year.,The mountains are absolutely breathtaking this time of year.,5,The statement about the beauty of the mountains is preserved directly.,19509,9,9,1.0,1.0,1.0
19695,weather and environment,nostalgic for the good old days,deadpan sarcastic,commands or instructions,Make sure to bundle up when it's windy.,Make sure you bundle up when it's windy.,5,"The advice to wear warm clothing in wind is kept, using straightforward, casual language.",19695,8,8,1.0,0.961038961038961,0.8
20321,relationships and dating,worried and concerned parent,main character vibes,commands or instructions,Make an effort to meet your partner's friends and family.,Make an effort to meet your partner's friends and family.,5,The instruction to meet partner's social circle is preserved directly.,20321,10,10,1.0,1.0,1.0
20456,technology and social media,confused by technology,delulu and delusional optimism,questions,What do you mean by self-care online?,What do you mean by online self-care?,5,"The question about online self-care is retained in its direct form, as it's already a relatively modern concept.",20456,7,7,1.0,0.8055555555555556,1.0
20812,pop culture and entertainment,catastrophizing and dramatic,villain arc mentality,exclamations or reactions,It's a tragedy that no one knows real music anymore!,It's a tragedy that no one knows real music anymore!,5,"The sentence preserves the dramatic sentiment and the idea that current music is not 'real,' aligning with 'catastrophizing and dramatic' without using slang that alters the meaning.",20812,10,10,1.0,1.0,1.0
20813,pop culture and entertainment,completely out of touch with youth culture,main character vibes,exclamations or reactions,Those video games are just a distraction.,Those video games are just a distraction.,5,"The original statement about video games being a distraction is maintained directly, fitting the 'completely out of touch with youth culture' theme without adding unnecessary slang.",20813,7,7,1.0,1.0,1.0
20814,pop culture and entertainment,confused by technology,extremely overdramatic,exclamations or reactions,What even is streaming?,What is streaming even?,5,The confusion about streaming is translated directly into a contemporary phrasing that reflects a lack of understanding.,20814,4,4,1.0,0.7727272727272727,1.0
20815,pop culture and entertainment,confused by technology,extremely overdramatic,exclamations or reactions,I can’t believe how many music festivals there are now.,I can’t believe how many music festivals there are now.,5,The surprise and slight bewilderment about the number of music festivals is maintained using direct language.,20815,10,10,1.0,1.0,1.0
20816,pop culture and entertainment,completely out of touch with youth culture,delulu and delusional optimism,exclamations or reactions,The TV shows today have no substance.,The TV shows today have no substance.,5,The opinion that current TV shows lack depth is directly translated into casual Gen Alpha phrasing.,20816,7,7,1.0,1.0,1.0
20817,pop culture and entertainment,completely out of touch with youth culture,delulu and delusional optimism,exclamations or reactions,The celebrities today don't have the same talent as in my day.,The celebrities today don't have the same talent as in my day.,5,The comparison of celebrity talent between generations is preserved directly with contemporary language.,20817,12,12,1.0,1.0,1.0
20818,pop culture and entertainment,passive-aggressive,chronically online,exclamations or reactions,Why do you follow those influencers?,Why do you follow those influencers?,5,"The question about following influencers is rephrased directly, capturing the 'passive-aggressive' tone without changing the core meaning.",20818,6,6,1.0,1.0,1.0
20819,pop culture and entertainment,completely out of touch with youth culture,main character vibes,exclamations or reactions,Going to the movies is a waste of money.,Going to the movies is a waste of money.,5,The statement that going to the movies is a waste of money is preserved directly with contemporary phrasing.,20819,9,9,1.0,1.0,1.0
20940,pop culture and entertainment,passive-aggressive,villain arc mentality,requests or suggestions,You should try watching classic films more often.,You should try watching classic films more often.,4,"The original sentence is a suggestion, and the Gen Alpha translation preserves this suggestion while using a more casual tone. 'Classic films' is kept as it's a specific genre, and the addition of 'try watching' fits the original intent.",20940,8,8,1.0,1.0,1.0
21063,pop culture and entertainment,nostalgic for the good old days,extremely overdramatic,requests or suggestions,We used to have sleepovers where we watched movies all night.,We used to have sleepovers where we'd watch movies all night.,5,The nostalgic statement about past sleepover activities is translated directly.,21063,11,11,1.0,0.9666666666666667,0.75
22386,food and cooking,overly literal and pedantic,chronically online,complaints or frustrations,You really should have taken the time to cook this properly.,You really should have taken the time to cook this properly.,5,"The complaint about improper cooking is maintained with direct, modern phrasing.",22386,11,11,1.0,1.0,1.0
22961,relationships and dating,nostalgic for the good old days,ironic hype,warnings or advice,Be open to new experiences.,Be open to new experiences.,5,The advice is preserved with straightforward phrasing.,22961,5,5,1.0,1.0,1.0
23032,school and studying,using outdated idioms,main character vibes,questions,Are you asking questions when you're confused?,"When you're confused, are you asking questions?",5,The question about asking for help when confused is maintained.,23032,7,7,1.0,0.5333333333333333,1.0
23035,school and studying,worried and concerned parent,extremely overdramatic,questions,Why are you always on your phone instead of studying?,Why you always on your phone instead of studying?,5,Maintains the question about phone usage hindering studying.,23035,10,9,0.9,0.96,0.9
23096,school and studying,catastrophizing and dramatic,unhinged chaos energy,questions,What if you never get into a good college?,What if you never get into a good college?,5,Preserves the catastrophic question about college admission in a style that fits the 'unhinged chaos energy' target.,23096,9,9,1.0,1.0,1.0
23508,school and studying,confused by technology,main character vibes,exclamations or reactions,Are you sure you know how to use that new software?,Are you sure you know how to use that new software?,5,Preserves the question about competence with technology.,23508,11,11,1.0,1.0,1.0
23563,school and studying,passive-aggressive,unhinged chaos energy,exclamations or reactions,I just wish you’d take this seriously.,I just wish you'd take this seriously.,5,The sentiment of wanting the other person to be serious is directly translated into more contemporary phrasing without losing the original meaning or intent.,23563,7,7,1.0,1.0,1.0
23630,travel and going out,completely out of touch with youth culture,rizz-coded smooth talker,warnings or advice,Make sure you have travel insurance for your trip.,Make sure you have travel insurance for your trip.,5,The original sentence is already quite direct and modern-sounding. No significant slang is needed or beneficial for preservation.,23630,9,9,1.0,1.0,1.0
23763,technology and social media,using outdated idioms,low effort minimal energy,compliments or praise,Your talent is a breath of fresh air in the industry.,Your talent is a breath of fresh air in the industry.,5,Maintains the original praise for uniqueness and positivity with a slight casual adjustment.,23763,11,11,1.0,1.0,1.0
23887,pop culture and entertainment,unsolicited advice-giver,NPC brainrot,warnings or advice,Don't fall for all the influencer hype.,Don't fall for all the influencer hype.,5,Directly translates the warning about influencer hype into common Gen Alpha phrasing.,23887,7,7,1.0,1.0,1.0
24154,technology and social media,overly literal and pedantic,unhinged chaos energy,complaints or frustrations,Why do you care so much about likes and shares?,Why do you care so much about likes and shares?,5,The core question about caring about online validation (likes/shares) is maintained.,24154,10,10,1.0,1.0,1.0
24155,technology and social media,overly literal and pedantic,unhinged chaos energy,complaints or frustrations,I don't think you realize how addictive those games can be.,I do not think you realize how addictive those games can be.,5,"The warning about game addiction is preserved in a straightforward, concerned tone.",24155,11,12,1.0909090909090908,0.9743589743589743,0.7142857142857143
24353,family and home,confused by technology,NPC brainrot,commands or instructions,Please write your name on the paper.,"Write your name on the paper, please.",5,Directly translates the instruction without adding any modern slang that would alter the meaning or intent.,24353,7,7,1.0,0.8,1.0
24395,family and home,using outdated idioms,delulu and delusional optimism,commands or instructions,You need to earn your keep.,You need to earn your keep.,5,The instruction to contribute is preserved directly.,24395,6,6,1.0,1.0,1.0
24506,fashion and style,using outdated idioms,NPC brainrot,questions,Have you thought about wearing matching outfits?,Have you thought about wearing matching outfits?,5,"The question about matching outfits is kept direct and casual, preserving the original intent.",24506,7,7,1.0,1.0,1.0
