id,topic,boomer_style,gen_alpha_style,sentence_type,boomer,gen_alpha,semantic_preservation_score,notes,original_id,source_word_len,target_word_len,target_source_length_ratio
8046,food and cooking,formal and slightly stiff,villain arc mentality,observations or statements,A well-stocked pantry encourages creativity.,"a pantry with good stuff just makes you wanna create culinary chaos, fr.",4,"The idea of a stocked pantry encouraging creativity is translated, with 'culinary chaos' adding a touch of the 'villain arc mentality' without altering the core meaning.",8046,5,13,2.6
8558,school and studying,nostalgic for the good old days,NPC brainrot,compliments or praise,Reading broadens your horizons.,"Reading is how you expand your whole entire world, for real.",5,"Keeps the meaning of reading broadening horizons, using more informal and emphatic language.",8558,4,11,2.75
8722,travel and going out,using outdated idioms,chronically online,complaints or frustrations,You're so disorganized.,You're really out here doing the most with organization.,4,"Preserves the complaint about disorganization, adding a slight ironic tone typical of Gen Alpha online commentary.",8722,3,9,3.0
9683,family and home,unsolicited advice-giver,extremely overdramatic,requests or suggestions,Celebrate the little things as a family.,"We should literally celebrate every single tiny thing as a family, it's the end of the world soon anyway.",4,"The suggestion to celebrate small things is preserved, but the 'extremely overdramatic' style adds a doomer element that slightly shifts the tone.",9683,7,19,2.7142857142857144
9806,family and home,unsolicited advice-giver,low effort minimal energy,requests or suggestions,You should start thinking about your career path.,Think about jobs.,5,"The advice to think about career paths is simplified and delivered with a low-effort, minimal energy tone.",9806,8,3,0.375
10518,gaming and hobbies,using outdated idioms,rizz-coded smooth talker,observations or statements,"Keep your feet on the ground, young one.","Stay grounded, kiddo.",5,The idiom 'keep your feet on the ground' is translated to a more concise and common phrase.,10518,8,3,0.375
10556,gaming and hobbies,using outdated idioms,ironic hype,observations or statements,Gaming will rot your brain.,"Gaming is literally going to fry your brain, it's not even a question.",5,"The warning about gaming's negative effects is preserved using strong, informal language fitting the 'ironic hype' style without being overly exaggerated.",10556,5,13,2.6
11004,health and medicine,passive-aggressive,low effort minimal energy,warnings or advice,You might want to consider therapy.,therapy maybe?,5,"The suggestion for therapy is preserved with a very low-effort, minimal energy phrasing that fits the target style.",11004,6,2,0.3333333333333333
11080,pop culture and entertainment,confused by technology,chronically online,complaints or frustrations,Everything feels overly complicated with technology.,"All this tech stuff is just too much, makes me feel like I'm permanently online and lost.",4,"The original complaint about technology being complicated is captured, but the Gen Alpha phrasing is slightly more specific about the feeling of being overwhelmed.",11080,6,17,2.8333333333333335
11533,money and work,nostalgic for the good old days,low effort minimal energy,warnings or advice,Work-life balance is crucial for long-term happiness.,Having a good balance between your job and your life outside of it is key for being happy long-term.,5,Keeps the advice about work-life balance and long-term happiness intact with informal wording.,11533,7,19,2.7142857142857144
11800,weather and environment,overly literal and pedantic,delulu and delusional optimism,observations or statements,The temperature is rising significantly.,"The temp is getting wild high, like, we're just gonna ignore the signs?",4,"The original sentence is a literal observation. The rewritten sentence imbues it with a slightly sarcastic, almost self-deceiving optimism, fitting the 'delulu' style, while still conveying the core observation of rising temperatures.",11800,5,13,2.6
11928,weather and environment,formal and slightly stiff,rizz-coded smooth talker,observations or statements,The sky is overcast today.,"the sky's looking kinda cloudy today, but it's not gonna stop the vibe.",4,The original sentence is a neutral observation about the overcast sky. The target sentence preserves the observation but adds a 'rizz-coded smooth talker' element by framing it in a way that suggests it won't negatively impact the mood or interaction.,11928,5,13,2.6
12425,politics and news,overly literal and pedantic,main character vibes,requests or suggestions,Decision-making should be based on careful analysis.,"When you make decisions, make sure you actually analyze stuff first, like, be the CEO of your choices.",4,"The advice to base decisions on careful analysis is translated with a 'main character' flair, emphasizing personal agency and control, while keeping the core instruction to analyze.",12425,7,18,2.5714285714285716
12429,politics and news,completely out of touch with youth culture,main character vibes,requests or suggestions,Democracy is fragile and needs protecting.,"Democracy is so fragile, we gotta protect it like it's the last good thing on Earth.",5,"The statement about democracy being fragile and needing protection is translated into an exaggerated, dramatic statement that fits the 'main character vibes' by highlighting its importance. The core message is preserved.",12429,6,16,2.6666666666666665
12671,travel and going out,worried and concerned parent,delulu and delusional optimism,questions,How will you handle language barriers?,"So like, how are we even gonna talk to people if we don't know the language?",5,Translates the concern about language barriers into Gen Alpha style without losing the original meaning or intent.,12671,6,16,2.6666666666666665
12909,pop culture and entertainment,overly polite to the point of awkward,low effort minimal energy,questions,Would you be so kind as to recommend a film for me to watch?,Got any movie recs?,5,"The polite request for a film recommendation is translated into a brief, common way of asking for suggestions.",12909,14,4,0.2857142857142857
13170,travel and going out,unsolicited advice-giver,delulu and delusional optimism,exclamations or reactions,Always confirm your travel arrangements.,"Wait, did you actually double-check your travel plans? That's giving major delulu energy.",4,Preserves the warning about checking travel arrangements but rephrases it to fit the 'delulu' theme with a slightly less direct tone.,13170,5,13,2.6
13196,travel and going out,overly literal and pedantic,delulu and delusional optimism,exclamations or reactions,Respect the environment when you travel.,"The planet is gonna crumble anyway, but like, try not to trash it when you travel?",4,"The original sentence is an imperative to respect the environment. The rewritten sentence couches the imperative in a 'delulu' framework, implying the effort is almost pointless but still expected.",13196,6,16,2.6666666666666665
13441,fashion and style,completely out of touch with youth culture,ironic hype,commands or instructions,Dress appropriately for your age.,"Dress like you're not trying to be younger than you are, for real.",4,"The advice to dress appropriately for one's age is translated, but the 'youth culture' aspect is implied rather than explicitly stated.",13441,5,13,2.6
13570,family and home,passive-aggressive,extremely overdramatic,observations or statements,You're taking everything for granted.,It's like you don't even see all the stuff we do for you.,5,"Maintains the observation of not appreciating efforts without direct accusation, using informal phrasing.",13570,5,13,2.6
13748,family and home,passive-aggressive,low effort minimal energy,observations or statements,I can't believe you forgot to do your laundry again.,Laundry... again?,5,"Converts the passive-aggressive statement into a short, exasperated, low-energy observation.",13748,10,2,0.2
13916,sports and fitness,using outdated idioms,rizz-coded smooth talker,exclamations or reactions,Familiarity breeds contempt.,"When you know someone too well, it can get weird.",5,"The original sentence is an idiom meaning too much familiarity leads to disrespect. The rewritten sentence translates this idiom into a more modern, casual observation about relationships, fitting the 'rizz-coded smooth talker' style by sounding like a relatable life observation.",13916,3,10,3.3333333333333335
14148,school and studying,catastrophizing and dramatic,extremely overdramatic,requests or suggestions,Don't underestimate the importance of homework.,Homework is literally the only thing that will ever matter in this meaningless existence. Do NOT underestimate it.,5,The warning about homework importance is preserved and amplified with extremely overdramatic phrasing.,14148,6,18,3.0
14207,mental health and feelings,nostalgic for the good old days,extremely overdramatic,complaints or frustrations,Things always get better with time.,"Everything's gonna be so much worse before it gets even a little bit better, it's literally a trauma response.",4,"The original sentence implies that time heals all wounds. This translation flips it into an 'extremely overdramatic' response by suggesting things get worse before better, fitting the target style and maintaining a sense of eventual improvement, albeit dramatized.",14207,6,19,3.1666666666666665
14336,mental health and feelings,unsolicited advice-giver,chronically online,complaints or frustrations,Worrying won't change anything.,Tripping over stuff that you can't control is a waste of brain space.,5,The warning against unproductive worrying is preserved with informal internet slang.,14336,4,13,3.25
14486,money and work,worried and concerned parent,main character vibes,commands or instructions,Avoid impulse purchases.,Try not to buy things on a whim.,5,The advice to avoid impulse purchases is restated using common informal phrasing.,14486,3,8,2.6666666666666665
14863,fashion and style,formal and slightly stiff,doomer and nihilistic,warnings or advice,Always iron your clothes before wearing them.,"always make sure your clothes are smooth before you even think about wearing them, or face the void.",4,"The original sentence is advice to iron clothes. The translation uses informal language ('smooth', 'face the void') to retain the instruction and the implication of negative consequences if ignored, fitting the doomer style.",14863,7,18,2.5714285714285716
14919,fashion and style,formal and slightly stiff,doomer and nihilistic,warnings or advice,Neutral colors are versatile and timeless.,"doomer and nihilistic. Beige and grey are like, the only colors left before the void claims us all.",4,"The original sentence states that neutral colors are versatile. The rewritten sentence maintains this point but frames it within a 'doomer and nihilistic' context, suggesting these colors are the only remaining option.",14919,6,18,3.0
14941,fashion and style,overly literal and pedantic,rizz-coded smooth talker,warnings or advice,Wearing vintage can sometimes look outdated.,"Rocking vintage is a whole vibe, but sometimes it can look like you time-traveled a bit too far.",4,"The advice about vintage looking outdated is preserved, with a slight shift in tone towards a more generalized observation rather than a direct warning.",14941,6,18,3.0
15019,fashion and style,unsolicited advice-giver,delulu and delusional optimism,warnings or advice,Faded clothing looks unprofessional.,"Faded clothes are literally canceled, no one's going to vibe with that.",5,"The warning about faded clothing looking unprofessional is translated into 'delulu' optimism combined with a statement about social rejection, preserving the negative connotation.",15019,4,12,3.0
15269,mental health and feelings,formal and slightly stiff,doomer and nihilistic,requests or suggestions,You might benefit from practicing gratitude daily.,"You might want to try being grateful for stuff every day. Or don't, it all ends the same.",4,"The suggestion for gratitude is present, but the 'doomer and nihilistic' ending diminishes the positive intent of the original suggestion.",15269,7,18,2.5714285714285716
15647,money and work,overly polite to the point of awkward,doomer and nihilistic,observations or statements,Innovation drives economic growth.,"Honestly, who even cares about economic growth when everything feels like it's collapsing?",5,"The statement about innovation driving growth is reframed through a doomer lens, questioning its relevance.",15647,4,13,3.25
15877,school and studying,passive-aggressive,unhinged chaos energy,commands or instructions,Don’t ignore your responsibilities.,"Don't just dip on your responsibilities, it's not a good look.",5,"The command not to ignore responsibilities is preserved with a casual, slightly disapproving tone.",15877,4,11,2.75
16076,travel and going out,using outdated idioms,extremely overdramatic,compliments or praise,Traveling can broaden your horizons.,Traveling is a solid way to see more of the world and learn new things.,4,"The idiom 'broaden your horizons' is translated to a more direct, common phrase about seeing and learning from travel.",16076,5,15,3.0
16459,fashion and style,using outdated idioms,extremely overdramatic,requests or suggestions,Pay attention to fabric quality.,"The quality of the fabric is, like, the ONLY thing holding this whole outfit together, you guys. It's a crisis.",5,"The advice to pay attention to fabric quality is translated into an extremely overdramatic statement, emphasizing its critical importance.",16459,5,20,4.0
16891,fashion and style,unsolicited advice-giver,extremely overdramatic,complaints or frustrations,Consider this trend won't last forever.,"This trend is literally going to fade out faster than you can blink, like, why even bother?",4,"The original sentence warns that a trend won't last forever. The rewritten sentence captures this sentiment with a slightly more dramatic and exaggerated tone, fitting the 'extremely overdramatic' style.",16891,6,17,2.8333333333333335
17155,gaming and hobbies,completely out of touch with youth culture,unhinged chaos energy,exclamations or reactions,That game is not age-appropriate.,"That game is definitely not appropriate for your age, it's giving chaos energy.",4,"The warning about age appropriateness is kept, but the 'unhinged chaos energy' framing makes it sound more like a personal, slightly chaotic observation rather than a direct, sober judgment.",17155,5,13,2.6
17380,sports and fitness,worried and concerned parent,delulu and delusional optimism,warnings or advice,Avoid distractions while training.,"It's not the move to get distracted while you're training, just focus up.",5,"The warning about distractions during training is preserved with casual, modern phrasing.",17380,4,13,3.25
17528,food and cooking,overly polite to the point of awkward,low effort minimal energy,questions,Can I take the liberty of asking about your favorite dessert?,What's your fave dessert?,5,"The polite, awkward question about favorite dessert is transformed into a direct, low-effort query.",17528,11,4,0.36363636363636365
17579,food and cooking,overly literal and pedantic,unhinged chaos energy,questions,Why would you skip breakfast when it's the most important meal of the day?,Why you skipping breakfast tho?,5,"The question about skipping breakfast is rephrased into a direct, unhinged inquiry.",17579,14,5,0.35714285714285715
17597,food and cooking,overly polite to the point of awkward,low effort minimal energy,questions,Is it possible that you could tell me your favorite type of cuisine?,What's your go-to cuisine?,5,"Rephrases the awkward, overly polite question into a direct, casual question about favorite cuisine.",17597,13,4,0.3076923076923077
17623,food and cooking,confused by technology,low effort minimal energy,questions,Can you tell me what 'marinating' is?,What's marinating?,5,"The question about understanding 'marinating' is simplified to a direct, low-effort query, fitting the Gen Alpha style.",17623,7,2,0.2857142857142857
17731,politics and news,using outdated idioms,extremely overdramatic,observations or statements,There's no shortage of opinions.,"the world is a dumpster fire and everyone has something to say about it, yay.",4,The original sentence states there are many opinions. The rewritten sentence uses an overdramatic and slightly nihilistic tone to express this same idea in a Gen Alpha style.,17731,5,15,3.0
17732,politics and news,completely out of touch with youth culture,chronically online,observations or statements,Politics can be complicated.,"politics is just a giant confusing mess, can't we all just log off?",5,The original sentence states politics is complicated. The rewritten sentence preserves this observation using language that reflects a 'chronically online' perspective on complex issues.,17732,4,13,3.25
17750,politics and news,completely out of touch with youth culture,chronically online,observations or statements,Politics isn't a game.,That takes away from the whole 'politics isn't a game' energy.,4,"The original sentence's meaning is preserved, but the addition of 'energy' shifts the phrasing slightly to sound more natural for the target style. The provided 'target_gen_alpha_style' was 'chronically online', which doesn't quite fit the Boomer sentence provided. I've adapted the Boomer sentence to sound more like a statement about the Boomer's view, which aligns better with the original statement of 'Politics isn't a game'.",17750,4,11,2.75
18482,family and home,worried and concerned parent,deadpan sarcastic,exclamations or reactions,I'll always be here for you if you need to talk!,"Sure, I'm here. Whatever.",5,"Maintains the offer of support but with a sarcastic, deadpan delivery.",18482,11,4,0.36363636363636365
18488,family and home,worried and concerned parent,main character vibes,exclamations or reactions,What if something goes wrong?,What if I'm the main character and this is just a plot twist I wasn't ready for?,5,Reinterprets the worry into a 'main character' scenario where negative outcomes are dramatic plot points.,18488,5,17,3.4
18724,fashion and style,nostalgic for the good old days,extremely overdramatic,exclamations or reactions,Why change what worked before?,Why are we changing what literally worked perfectly before? This is so dramatic.,4,"The original sentence questions changing something that was previously effective. The Gen Alpha version uses 'literally worked perfectly' for emphasis and adds 'This is so dramatic' to fit the 'extremely overdramatic' target style, while preserving the core question. It's a bit more expressive than a direct translation but maintains the sentiment.",18724,5,13,2.6
18945,school and studying,overly literal and pedantic,villain arc mentality,complaints or frustrations,You should prioritize your responsibilities over fun.,"You need to stop the fun immediately and focus on the missions, or the final boss will win.",4,"The prioritization of responsibility over fun is translated into a game-like scenario, fitting the 'villain arc' style by framing responsibilities as mandatory objectives.",18945,7,18,2.5714285714285716
19459,weather and environment,overly literal and pedantic,villain arc mentality,compliments or praise,You should check the weather report before heading out.,"You should check the weather report before you go out, unless you're trying to summon a hurricane and become a villain. Your call.",5,"The practical advice to check the weather is preserved and reframed within a 'villain arc mentality' context, making it a dramatic, albeit still functional, warning.",19459,9,23,2.5555555555555554
19793,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions,Please remember to stay hydrated throughout the day.,"Drink water, okay?",5,"The overly polite request to hydrate is transformed into a simple, low-effort command that maintains the core message.",19793,8,3,0.375
19796,health and medicine,overly polite to the point of awkward,low effort minimal energy,exclamations or reactions,It would be prudent to assess your eating habits.,"Eat better, maybe?",5,"The overly polite and formal suggestion to assess eating habits is simplified to a casual, low-effort suggestion that maintains the original intent.",19796,9,3,0.3333333333333333
20125,mental health and feelings,full lecture mode,rizz-coded smooth talker,commands or instructions,Practice self-compassion during struggles.,"When things get rough, be nice to yourself, you got this.",5,"Preserves the instruction for self-compassion during struggles using accessible, encouraging language.",20125,4,11,2.75
20196,mental health and feelings,full lecture mode,rizz-coded smooth talker,commands or instructions,Identify your triggers to manage your reactions.,"Figure out what sets you off so you can handle your reactions, that's how you get the rizz.",5,Preserves the instruction and uses Gen Alpha phrasing.,20196,7,18,2.5714285714285716
20274,relationships and dating,using outdated idioms,extremely overdramatic,commands or instructions,Choose your partner wisely.,"Pick your partner with the utmost care, this is a huge deal.",4,"The core advice is kept, but the 'extremely overdramatic' target style adds a layer of exaggeration not strictly present in the original.",20274,4,12,3.0
20399,relationships and dating,using outdated idioms,extremely overdramatic,commands or instructions,Haste makes waste.,"Don't rush things, that's a recipe for disaster.",5,The idiom 'haste makes waste' is translated into a warning about the negative consequences of rushing.,20399,3,8,2.6666666666666665
21190,fashion and style,formal and slightly stiff,unhinged chaos energy,observations or statements,That hairstyle looks unkempt.,Your hair looks like it just went through a wind tunnel.,5,The observation about the hairstyle being unkempt is preserved with a more chaotic and visual description.,21190,4,11,2.75
21422,politics and news,using outdated idioms,main character vibes,complaints or frustrations,It's not rocket science.,"This isn't complicated, so stop acting like you're the only one who gets it.",4,"The idiom 'not rocket science' is translated into a more direct statement about complexity, and the implied frustration is captured.",21422,4,14,3.5
21438,politics and news,using outdated idioms,main character vibes,complaints or frustrations,It's a no-win situation.,"This whole situation is a total lose-lose, it's giving 'main character' drama.",5,"The idiom 'no-win situation' is translated to a more contemporary expression of a losing scenario, framed by 'main character' energy.",21438,4,12,3.0
21439,politics and news,using outdated idioms,main character vibes,complaints or frustrations,It's a slippery slope.,"Things starting out small can lead to big problems, it's giving 'main character' vibes for disaster.",4,"The idiom 'slippery slope' is translated with a slight adjustment to the metaphor, linking the potential for negative escalation to 'main character' level drama.",21439,4,16,4.0
21742,food and cooking,overly literal and pedantic,delulu and delusional optimism,warnings or advice,Keep your cooking space organized for efficiency.,"Keep your cooking area tidy, otherwise, like, what are you even doing? It's all part of the delusion.",4,"Preserves the advice about keeping the space organized for efficiency, but the 'delulu' framing adds a slight metaphorical shift.",21742,7,18,2.5714285714285716
21778,food and cooking,confused by technology,chronically online,warnings or advice,Check your food for doneness before serving.,"Just gotta make sure the food is actually cooked before you serve it, you know? Don't just guess.",5,"The warning is preserved with casual, slightly informal phrasing.",21778,7,18,2.5714285714285716
21793,food and cooking,using outdated idioms,ironic hype,warnings or advice,"Nothing ventured, nothing gained.","Trying new things is the only way to get anything done, duh.",4,"The idiom is translated into more direct, ironic advice, slightly altering the nuance but preserving the core meaning.",21793,4,12,3.0
21978,sports and fitness,unsolicited advice-giver,delulu and delusional optimism,compliments or praise,Always remember to challenge yourself.,"Just keep pushing yourself to be the absolute best, you know? It's all gonna work out perfectly.",5,"The advice to challenge oneself is framed within a context of guaranteed, overly optimistic success.",21978,5,17,3.4
22111,health and medicine,nostalgic for the good old days,low effort minimal energy,requests or suggestions,You need a balanced diet for overall wellness.,"Eat better, whatever.",4,"The suggestion for a balanced diet is simplified to a very low-effort, unenthusiastic statement, aligning with the target style while preserving the core advice.",22111,8,3,0.375
22600,relationships and dating,formal and slightly stiff,ironic hype,observations or statements,Emotional intelligence is vital in relationships.,"Being able to read the room and other people's feelings is like, a cheat code for relationships.",5,Preserves the meaning of emotional intelligence being important in relationships with contemporary phrasing.,22600,6,17,2.8333333333333335
23808,technology and social media,using outdated idioms,low effort minimal energy,compliments or praise,You're a breath of fresh air in this digital space.,"You're like, whatever.",4,"The original praise 'breath of fresh air' is significantly toned down to fit the 'low effort minimal energy' style, becoming a very understated and almost indifferent compliment.",23808,10,3,0.3
24270,health and medicine,overly polite to the point of awkward,low effort minimal energy,commands or instructions,I would highly recommend that you get sufficient sleep each night.,"get some sleep, fr.",5,"Preserves the command to get enough sleep with a casual, low-effort phrasing.",24270,11,4,0.36363636363636365
24533,travel and going out,full lecture mode,extremely overdramatic,requests or suggestions,You should explore off-the-beaten-path locations.,"You should venture into the uncharted territories, where no sensible person has gone before.",5,"The suggestion to explore off-the-beaten-path locations is preserved, and the 'full lecture mode' is translated into 'extremely overdramatic' phrasing.",24533,5,14,2.8
