row_id,boomer,topic,boomer_style,gen_alpha_style,sentence_type
74,What about learning to code or develop games yourself?,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
75,I can't believe you're still wasting time on that game.,gaming and hobbies,passive-aggressive,low effort minimal energy,requests or suggestions
76,You might want to explore different genres of games to broaden your horizons.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
77,It's advisable to explore indie games for unique experiences.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
78,You should get off the computer once in a while.,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
79,I don’t see the point in online communities.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
80,Can’t you just enjoy gaming casually?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
81,This can’t be the most fulfilling part of your day.,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
82,Please consider playing games that provoke thoughtful discussions.,gaming and hobbies,overly polite to the point of awkward,NPC brainrot,requests or suggestions
83,You should consider attending more community events.,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
84,That passion needs to lead somewhere productive.,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
85,You should take the time to read the guidelines of games.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
86,You should keep your gaming area organized and clean.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
87,Might I suggest exploring various gaming genres to expand your interests?,gaming and hobbies,overly polite to the point of awkward,NPC brainrot,requests or suggestions
88,Practicing regularly can help you get better at your favorite games.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
89,It's important to stay positive during competitive matches.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
90,Perhaps you could explore different genres of video games to broaden your horizons.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
91,"Playing games all night isn't healthy, you know.",gaming and hobbies,confused by technology,chronically online,requests or suggestions
92,How about joining a book club for a change?,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
93,Don’t forget to take care of your mental health while gaming.,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
94,Can't you just play outside instead of looking at a screen?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
95,Reading strategy guides can enhance your gameplay experience.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
96,You need to recognize when to step away from the screen.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
97,You should really think about your screen time.,gaming and hobbies,confused by technology,chronically online,requests or suggestions
98,Have you considered how gaming affects your sleep schedule?,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
99,I believe you would benefit from learning a craft.,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
100,I believe you shouldn't neglect your physical health while gaming.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
101,Be cautious with the amount of exposure to gaming content you consume.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
102,"Try to invest your time in something productive, like drawing.",gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
103,I think you should limit the amount of time you spend on screens.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
104,I would appreciate it if you would consider trying some outdoor activities.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
105,You should take time to learn how to cook instead of just gaming.,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
106,It’s smart to keep an eye on your gaming subscriptions.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
107,Make sure you're not neglecting your physical fitness with all this gaming.,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
108,Could you please reflect on how gaming affects your daily routine?,gaming and hobbies,overly polite to the point of awkward,NPC brainrot,requests or suggestions
109,You should learn to budget your allowance.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
110,It's important to balance your gaming with outdoor activities.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
111,You could plan your activities better for more variety.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
112,Watch tutorials to improve your gaming techniques.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
113,Make sure to stay hydrated during long gaming sessions.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
114,You should really engage in more physical outdoor activities.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
115,Take a step back and think about your priorities.,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
116,I'm not sure if that game is suitable for someone your age.,gaming and hobbies,overly literal and pedantic,deadpan sarcastic,requests or suggestions
117,You should try to learn a new skill.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
118,You should consider the long-term effects of excessive gaming.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
119,Isn’t it tiring to keep playing for so long?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
120,Consider reaching out for help if you're feeling overwhelmed.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
121,You might want to limit your gaming sessions.,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
122,Don't forget to eat and drink while you game.,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
123,You should keep your gaming space organized to enhance focus.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
124,It would be beneficial to develop a practical skill.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
125,Why do you spend so much money on in-game purchases?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
126,You should connect gaming to your personal interests for more enjoyment.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
127,You could benefit from some downtime.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
128,Have you thought about pursuing a career related to your interests?,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
129,Consider exploring different genres to broaden your horizons.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
130,You could take up painting; it’s very relaxing.,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
131,Have you thought about playing outside more often?,gaming and hobbies,confused by technology,chronically online,requests or suggestions
132,You should be mindful of your time management.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
133,Would it be too much to ask that you respect others while gaming online?,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
134,You should really cut back on that game.,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
135,Consider sharing your gaming experiences with others.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
136,Why don’t you try something different for once?,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
137,Don't you think you should spend less time on that device?,gaming and hobbies,confused by technology,chronically online,requests or suggestions
138,Why not go for a walk in the park for a change?,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
139,You should reflect on the impact of gaming on your relationships.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
140,You ought to participate in gaming events to enhance your skills.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
141,I don’t see the point in watching others play video games.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
142,What’s wrong with playing more traditional games?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
143,Can you help around the house instead of just gaming?,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
144,It could be advantageous for you to learn about game design principles.,gaming and hobbies,overly polite to the point of awkward,NPC brainrot,requests or suggestions
145,It’s important to have a variety of interests outside of video games.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
146,That competitive nature might not bode well for your friendships.,gaming and hobbies,overly literal and pedantic,deadpan sarcastic,requests or suggestions
147,Would you be so kind as to investigate the impact of excessive gaming?,gaming and hobbies,overly polite to the point of awkward,NPC brainrot,requests or suggestions
148,Have you thought about volunteering your time?,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
149,You should evaluate the sustainability of your interests.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
150,Why not engage in something that builds character?,gaming and hobbies,passive-aggressive,low effort minimal energy,requests or suggestions
151,Why not work on a project instead of just gaming for hours?,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
152,You really should think about your education and future first.,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
153,You should consider the impact of your gaming habits.,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
154,You used to have such a vivid imagination; whatever happened to that?,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
155,Can you stop playing that game for just one minute?,gaming and hobbies,passive-aggressive,low effort minimal energy,requests or suggestions
156,Establish a routine to help balance gaming and responsibilities.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
157,You should balance your time between work and play.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
158,Would you be inclined to create a gaming schedule?,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
159,You should really try to connect with other gamers locally.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
160,Might I suggest you try a new hobby for a change?,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
161,You might want to think about your future goals.,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
162,Have you thought about getting a part-time job for experience?,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
163,Consider joining a local community center for activities.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
164,Invest in some new hobbies to diversify your interests.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
165,I think you should engage more in real-life interactions.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
166,What’s the point of collecting virtual items?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
167,How about trying out that new video game everyone is raving about?,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
168,Have you thought about taking a class in something new?,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
169,Can you please turn down the volume on that game?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
170,You really should try to engage more with real-life activities.,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
171,It’s important to be aware of your gaming habits.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
172,You could write a story based on your gaming experiences.,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
173,It concerns me that you spend less time with friends in person.,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
174,I would humbly suggest you take the time to learn about game development.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
175,I believe you should explore other forms of entertainment.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
176,Maybe you could take a class to enhance your skills.,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
177,Could you please look into activities that will nurture your creativity?,gaming and hobbies,overly polite to the point of awkward,NPC brainrot,requests or suggestions
178,Why not engage in something that's truly rewarding?,gaming and hobbies,passive-aggressive,low effort minimal energy,requests or suggestions
179,Your time management skills could use some improvement.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
180,Isn't it a waste of money to buy new gaming consoles every year?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
181,Don't you think you should try to socialize more?,gaming and hobbies,passive-aggressive,low effort minimal energy,requests or suggestions
182,You should visit your friends more instead of gaming all the time.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
183,Have you thought about taking classes to enhance your skills?,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
184,You ought to pick up a book instead of playing video games all day.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
185,I miss the days when people actually went outside to play.,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
186,Have you thought about more constructive activities?,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
187,You ought to learn some practical skills instead of just focusing on video games.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
188,"You could really stand to be a little more active, you know.",gaming and hobbies,passive-aggressive,low effort minimal energy,requests or suggestions
189,Consider spending more time with family instead of gaming.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
190,Try to balance your screen time.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
191,You should consider joining a club.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
192,Don't forget to socialize without your headset on.,gaming and hobbies,confused by technology,chronically online,requests or suggestions
193,Why do you need to customize your gaming setup?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
194,Maybe try taking a break from competitive games.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
195,You need a break from that screen to avoid eye strain.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
196,You need to be mindful of your gaming habits to maintain a healthy lifestyle.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
197,You should really re-evaluate your priorities.,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
198,Have you ever thought about joining a local club?,gaming and hobbies,passive-aggressive,low effort minimal energy,requests or suggestions
199,You might think about taking a break from competitive gaming.,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
200,Why don't you go out and engage with the world a little more?,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
201,It's essential to balance your time between gaming and other activities.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
202,You need to focus on your studies before playing video games.,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
203,Maybe you should pick up a book instead of gaming.,gaming and hobbies,confused by technology,chronically online,requests or suggestions
204,I highly encourage you to explore some outdoor activities.,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
205,It would do you well to reflect on the time spent on gaming versus other activities.,gaming and hobbies,overly polite to the point of awkward,NPC brainrot,requests or suggestions
206,Participating in local events could be beneficial for you.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
207,You should explore photography; it’s a beautiful art form.,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
208,You should invest in better gear for your gaming setup.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
209,Is there a reason you can't play something educational?,gaming and hobbies,passive-aggressive,low effort minimal energy,requests or suggestions
210,It would be prudent to assess the variety of games you enjoy.,gaming and hobbies,overly polite to the point of awkward,NPC brainrot,requests or suggestions
211,Try discussing your gaming habits with someone you trust.,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
212,Maybe you should find a hobby that doesn't involve a screen.,gaming and hobbies,passive-aggressive,low effort minimal energy,requests or suggestions
213,Reading the game manuals will help you understand the mechanics better.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
214,Please don’t get too caught up in gaming culture.,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
215,Why do you need to chat with strangers while gaming?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
216,Could you perhaps try to learn the rules of a new game?,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
217,Maybe you should join a sports team for physical activity.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
218,Think about the long-term effects of excessive gaming on your mental health.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
219,"If I could suggest, consider creating content related to your gaming experiences.",gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
220,I think you should join a sports team instead of playing those games.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
221,How about you find a volunteer opportunity to give back?,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
222,I worry that gaming might be consuming too much of your life.,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
223,Might I suggest you spend some time reflecting on your gaming habits?,gaming and hobbies,overly polite to the point of awkward,NPC brainrot,requests or suggestions
224,Could you possibly try a new genre of video games?,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
225,Why do you find that hobby so fascinating?,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
226,Consider the impact of screen time on your health.,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
227,There are so many other skills you could develop instead of gaming.,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
228,Why not try something traditional like knitting?,gaming and hobbies,confused by technology,chronically online,requests or suggestions
229,It would be wise to consider your long-term future in the gaming industry.,gaming and hobbies,overly polite to the point of awkward,NPC brainrot,requests or suggestions
230,Have you thought about how gaming can be a positive outlet?,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
231,How about you try gardening as a hobby?,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
232,Maybe try some hobbies that don't involve screens.,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
233,I think you should focus on your health and exercise regularly.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
234,I would appreciate your consideration of a more diverse gaming library.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
235,It would be wonderful if you could allocate some time for reading as well.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
236,You should think about your future career path.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
237,Learn to manage your emotions during competitive play.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
238,You should prioritize your health while gaming.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
239,Aren't you too old to be playing those games?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
240,Have you considered joining a local gaming club?,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
241,You might want to revisit your old hobbies.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
242,Perhaps you should evaluate the content of that game more critically.,gaming and hobbies,overly literal and pedantic,deadpan sarcastic,requests or suggestions
243,You could explore the world of tabletop games for a different experience.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
244,Keep track of your gaming achievements for motivation.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
245,Remember to stay hydrated while you're gaming for long hours.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
246,"Maybe it’s time to limit your social media usage, too.",gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
247,Maybe you should try something that helps you grow as a person.,gaming and hobbies,passive-aggressive,low effort minimal energy,requests or suggestions
248,It’s wise to manage your gaming expenses carefully.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
249,Why do you want to join a gaming community?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
250,You should think about your future and not just gaming.,gaming and hobbies,confused by technology,chronically online,requests or suggestions
251,I can't fathom why anyone would want to watch live streams of gameplay.,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
252,You really ought to spend less time on those consoles.,gaming and hobbies,passive-aggressive,low effort minimal energy,requests or suggestions
253,You might want to try a less competitive game for a change.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
254,I recommend you take the time to learn the game mechanics.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
